id,seniority,job_title
47,/,Software engineer
47,Senior,Software developer
48,/,System analyst
48,/,Embedded software engineer
49,/,Software developer
50,Senior,Software engineer
51,/,Programmer analyst
52,/,Software developer
53,Founder,(Co-)Founder/Owner/Partner
53,/,Software engineer
53,Senior,Software developer
53,/,Web developer
53,/,Application developer
53,/,Software engineer
53,Senior,Software engineer
54,Lead,iOS developer
54,Senior,iOS developer
54,/,Web developer
55,/,Software developer
55,/,Software developer
56,/,Java developer
56,/,Software developer
56,/,Software engineer
57,/,Software engineer
57,/,Software engineer
57,/,iOS developer
58,/,R&D engineer
59,/,Programmer analyst
59,Senior,Developer
59,/,Consultant
60,/,Web developer
60,/,Web developer
60,/,Full-stack web developer
60,/,webmaster
61,Director,Tehnical/Managing Director
61,/,Engineer
62,/,Software engineer
62,/,Software engineer
62,/,Software engineer
63,/,Software engineer
63,Senior,Software engineer
63,/,Freelancer/independent developer
64,/,Software engineer
65,Lead,Software engineer
65,Senior,Software engineer
65,Senior,Software engineer
66,Senior,Programmer analyst
67,/,Web developer
68,/,Software developer
68,/,Software developer
68,/,webmaster
68,/,Researcher
68,/,Freelancer/independent developer
68,/,Freelancer/independent developer
69,/,iOS developer
69,/,iOS developer
69,/,iOS developer
70,Senior,Software engineer
71,/,Software developer
71,Senior,Developer
71,/,Full-stack software engineer
71,CEO,CEO
71,/,Developer
71,/,Developer
71,/,Application developer
71,/,Software engineer
72,/,Software engineer
72,/,Technical analyst
73,/,Freelancer/independent developer
73,/,Software engineer
73,/,Software engineer
74,/,Consultant
74,Senior,Developer
74,/,product engineer
75,Senior,Software developer
75,/,data analyst
75,/,Software developer
76,Tech Lead,technical lead
76,Tech Lead,technical lead
76,Senior,Software engineer
77,/,Consultant
77,/,Full-stack developer
77,/,Consultant
77,/,Developer
78,/,Front-end developer/engineer
78,/,interactive developer
78,/,interactive developer
78,/,Application developer
78,/,Software engineer
79,CTO,CTO
79,CTO,CTO
80,/,Web developer
80,/,contractor
81,/,Java developer
81,/,Software engineer
82,Founder,(Co-)Founder/Owner/Partner
82,/,System engineer/developer
83,/,Software developer
84,Senior,Developer
84,/,Researcher
84,/,Researcher
85,/,ruby developer
85,/,PHP developer
85,/,ruby developer
85,/,ruby developer
85,/,ruby developer
86,/,Web developer
86,/,Web developer
86,/,Software engineer
87,/,Software engineer
87,Senior,Software engineer
88,Senior,Web developer
88,Senior,Programmer
89,Senior,iOS developer
89,/,Software engineer
89,/,Software engineer
89,/,Software engineer
89,Senior,iOS developer
90,/,development engineer
90,/,Full-stack web developer
90,/,Freelancer/independent developer
90,/,Software engineer
91,C-level&Founder,(co)founder & cto/ceo/dev
91,/,Full-stack web developer
91,Lead,Web developer
92,/,Application developer
93,Manager,engineering manager
93,/,Software developer
94,/,Freelancer/independent developer
94,/,graphic designer
95,Lead,Software engineer
96,Senior,Web developer
96,Lead,Software engineer
96,/,IT specialist/technician
96,Manager,development manager
96,/,Software architect
96,/,Application developer
96,Lead,Application developer
97,/,Software developer
97,/,Software developer
98,Senior,Software engineer
98,/,support engineer
98,/,Web developer
98,/,Software engineer
98,Senior,Software engineer
98,/,Web developer
98,Senior,Software engineer
98,/,Software engineer
99,Senior,Software engineer
99,Senior,Software engineer
99,/,Software engineer
99,Senior,Software engineer
100,/,Software engineer
101,Team Lead,Team lead
101,/,Software developer
101,/,Academic
102,/,Software developer
102,Senior,Software developer
102,/,Web developer
102,/,Software developer
102,Senior,Software developer
102,Senior,Software engineer
102,/,Web developer
103,Principal,Software engineer
103,/,Software engineer
103,/,Software engineer
103,Senior,Consultant
104,Manager,IT manager
104,/,Front-end developer/engineer
105,Senior,Software engineer
105,/,System analyst
105,/,Software engineer
105,/,Software engineer
106,Manager,Project manager/lead
107,/,Web developer
107,/,Software developer
108,Senior,Software engineer
108,Lead,Software engineer
108,/,Java developer
108,Lead,Software engineer
109,Senior,Software engineer
109,/,Software engineer
110,/,Software engineer
110,Senior,Software engineer
111,/,Front-end developer/engineer
111,/,Software developer
112,Founder,(Co-)Founder/Owner/Partner
113,/,System analyst
113,/,Software engineer
113,Lead/Principal,Architect
114,/,DevOps engineer
115,/,Web developer
115,/,database developer
115,Head/Lead,head of development
116,/,Software engineer
116,/,Software developer
117,/,.NET developer
117,/,Software developer
117,Senior,.NET developer
117,/,.NET developer
117,Senior,.NET developer
117,/,Web developer
117,Senior,.NET developer
117,/,.NET developer
118,/,Software developer
118,/,Developer
118,/,Full-stack software engineer
119,/,Software engineer
119,/,Software engineer
119,/,Software engineer
119,/,Software engineer
119,/,Software engineer
119,/,Software engineer
119,/,Software engineer
119,Founder,(Co-)Founder/Owner/Partner
119,/,Software engineer
120,/,solution developer
120,/,solution developer
120,Senior,Developer
121,/,Software developer
122,Tech Lead,technical lead
122,Senior,iOS developer
123,/,Android developer
123,/,Software engineer
123,/,Software engineer
123,Junior,Programmer
123,/,Android developer
124,Tech Lead,technical lead
124,Senior,Software developer
124,/,Software developer
124,Senior,Software developer
125,/,Software engineer
125,/,Software engineer
125,/,Researcher
126,Junior,Programmer
126,Senior,Software developer
126,/,Software engineer
127,/,Freelancer/independent developer
127,/,Android developer
128,/,Java developer
128,/,Software engineer
129,Senior,Software engineer
129,/,Software engineer
129,/,Software developer
130,Senior,mobile developer
130,/,Android developer
130,/,PHP developer
130,/,Android developer
131,/,Software developer
132,Senior,Software engineer
132,/,IT specialist/technician
132,/,Software engineer
132,Senior,Software engineer
132,Lead,Developer
132,Lead,Developer
133,/,Software engineer
134,Staff,Software engineer
135,/,Solutions architect
135,/,Software architect
135,Senior,Developer
136,/,Software engineer
137,/,System architect
138,Junior,Java developer
138,/,Software developer
138,/,Software developer
138,/,Software engineer
139,/,Software engineer
139,/,Software engineer
140,/,Software developer
140,/,Developer
141,/,Automation engineer
141,/,Software engineer
142,/,Web developer
143,Founder,(Co-)Founder/Owner/Partner
144,/,Front-end developer/engineer
145,/,Software developer
145,/,Software developer
145,/,Web developer
146,/,Engineer
147,/,Freelancer/independent developer
147,/,contractor
147,/,Researcher
147,/,Researcher
147,/,contractor
147,/,contractor
147,/,contractor
147,/,Researcher
147,Founder,(Co-)Founder/Owner/Partner
148,/,Researcher
148,/,Researcher
149,/,Full-stack developer
149,/,Freelancer/independent developer
149,/,Software developer
150,/,development engineer
151,/,graphic designer
151,Senior,Engineer
152,/,Consultant
152,/,Software engineer
153,/,contractor
153,Lead ,Programmer
154,/,iOS developer
154,/,iOS developer
155,/,Software developer
156,/,Software developer
157,Senior,Software engineer
157,/,Software engineer
157,/,Software developer
158,/,Full-stack developer
158,Founder,(Co-)Founder/Owner/Partner
158,/,PHP developer
158,/,PHP developer
158,/,Developer
158,/,webmaster
159,/,PHP developer
160,/,Freelancer/independent developer
160,Senior,Developer
160,/,Programmer
160,/,Programmer
161,/,iOS developer
161,/,iOS developer
161,Senior,iOS developer
162,/,Software engineer
163,/,Software developer
163,/,Software engineer
163,/,Software engineer
164,CTO,CTO
164,/,Software architect
164,/,Software developer
165,Senior,Software engineer
165,Junior,Software developer
165,Senior,Software developer
165,/,Software developer
165,/,Software engineer
165,Senior,Software engineer
165,Senior,Software engineer
166,/,Software developer
167,/,Software engineer
167,/,Software engineer
167,/,Software engineer
167,/,Software engineer
168,/,Software engineer
169,/,iOS developer
169,/,iOS developer
170,Principal,Software engineer
171,/,Teacher(-assistant)/Trainer
172,Tech Lead,technical lead
172,Senior,Programmer
172,/,Technical architect
172,/,Software developer
172,/,Software developer
173,Founder,(Co-)Founder/Owner/Partner
173,Founder,(Co-)Founder/Owner/Partner
173,/,Web developer
173,Senior,Web developer
173,Founder,(Co-)Founder/Owner/Partner
174,/,Web developer
174,/,Java developer
174,/,Java developer
175,/,Android developer
176,/,Consultant
176,Principal,Consultant
176,Principal,Consultant
176,/,Consultant
176,/,Programmer
176,/,Consultant
176,Lead,Software engineer
176,Principal,Consultant
176,/,Programmer
176,Principal,Software engineer
176,/,Programmer
176,/,Programmer
177,Founder,(Co-)Founder/Owner/Partner
177,Founder,(Co-)Founder/Owner/Partner
177,Founder,(Co-)Founder/Owner/Partner
178,Senior,Programmer
178,/,Java developer
179,/,Researcher
179,Staff,Software engineer
179,/,Software architect
180,Senior,Developer
180,Senior,Developer
180,Senior,Developer
181,Lead,Android developer
181,Senior,mobile developer
182,Chief architect,chief architect
182,/,Web developer
183,/,Web developer
184,/,Developer
184,/,Developer
184,/,Web developer
185,Team Lead,Team lead
186,Principal,Consultant
187,Founder,(Co-)Founder/Owner/Partner
187,/,Software developer
187,C-level&Founder,(co)founder & cto/ceo/dev
187,Senior,Software engineer
188,Senior,Android developer
188,/,Consultant
188,Senior,Web developer
188,Senior,Developer
188,Senior,Software engineer
188,/,Web developer
189,Lead,Developer
189,Senior,Web developer
189,Senior,Web developer
189,Manager,Project manager/lead
190,/,Software architect
191,/,Software engineer
192,/,Programmer
192,/,Software engineer
193,/,Web developer
193,Lead,Developer
194,/,Software engineer
194,Senior,Software engineer
195,/,Software developer
195,/,Software developer
196,/,Software engineer
196,Senior,Software engineer
196,Junior,Software engineer
197,/,QA engineer
198,/,Web developer
198,/,Web developer
199,/,Freelancer/independent developer
200,/,Software engineer
200,/,Android developer
200,/,Android developer
201,Senior,Software engineer
201,Senior,Software engineer
201,Associate,Consultant
202,/,Freelancer/independent developer
203,Senior,Software architect
203,Manager,development manager
203,/,Software engineer
204,/,Software engineer
205,Lead,Software engineer
205,/,Software engineer
205,Senior,Software engineer
205,Senior,Software engineer
206,/,Academic
207,/,Systems/network/database administrator
207,/,Developer
207,/,Systems/network/database administrator
208,/,Full-stack web developer
209,/,Technical architect
209,/,Consultant
209,/,Solutions architect
210,Senior,Software developer
210,Senior,Software developer
211,/,Software engineer
211,Lead,Developer
211,VP,VP of engineering
212,/,Systems/network/database administrator
212,/,Systems/network/database administrator
213,/,Researcher
213,Lead,Android developer
214,Senior,Software engineer
214,/,Software engineer
214,Senior,Android developer
215,Senior,Developer
216,/,Researcher
216,/,Researcher
217,/,Software engineer
217,/,Web developer
217,Senior,Web developer
218,Associate,Consultant
218,Senior,Full-stack developer
219,/,Software engineer
219,/,Application developer
220,/,Solutions architect
221,/,Software engineer
221,/,Full-stack web developer
221,/,Teacher(-assistant)/Trainer
221,Senior,Software engineer
222,/,Web developer
222,/,Web developer
222,Senior,Software engineer
222,/,Web developer
222,Senior,Web developer
223,/,Web developer
223,/,Programmer
224,Senior,Software engineer
224,Senior,Software engineer
224,/,Software architect
225,/,Software developer
225,Senior,Software engineer
225,/,Software engineer
226,/,System analyst
226,/,Freelancer/independent developer
226,/,System analyst
227,/,Web developer
227,/,Web developer
227,/,Web developer
227,/,Web developer
228,/,PHP developer
228,/,Front-end developer/engineer
228,/,PHP developer
229,/,Software engineer
229,/,Software developer
230,/,Java developer
230,Senior,Java developer
231,/,Software engineer
231,/,Teacher(-assistant)/Trainer
231,/,Software developer
232,Senior,Software engineer
232,/,Software engineer
233,Senior,Consultant
233,/,Software architect
233,/,Software developer
233,Senior,Software developer
233,/,Software developer
234,Founder,(Co-)Founder/Owner/Partner
235,/,Application architect
235,/,Software engineer
235,/,Consultant
236,/,contractor
236,/,Application developer
236,/,Programmer analyst
236,/,Programmer analyst
236,/,contractor
236,/,Developer
236,/,contractor
237,/,Software engineer
237,/,Software engineer
238,Head/Lead,head of development
238,/,Web developer
239,/,PHP developer
239,/,Web developer
239,/,UI developer
239,/,IT specialist/technician
239,/,Software engineer
240,Senior,Software engineer
240,Senior,Software developer
241,/,Researcher
242,Manager,development manager
243,Head/Lead,head of development
243,/,DevOps engineer
244,/,Full-stack software engineer
244,/,Software engineer
245,Team Lead,Team lead
245,Manager,development manager
246,/,Programmer
246,Junior,Web developer
247,/,Developer
248,CTO,CTO
249,Senior,Software developer
249,Senior,Software developer
249,/,Software developer
250,/,Software engineer
250,/,Software engineer
251,Senior,Software developer
251,/,Web designer
251,/,Software developer
251,/,Software developer
252,/,Software engineer
252,/,Web developer
252,/,Software engineer
252,/,Web developer
252,/,Web developer
253,/,Full-stack developer
254,/,interactive developer
254,Senior,Web developer
255,Senior,Software engineer
256,Senior,Android developer
257,/,System analyst
257,/,Software engineer
257,Founder,(Co-)Founder/Owner/Partner
257,/,Software engineer
258,/,Software engineer
258,Senior,Software engineer
258,/,Software engineer
258,Senior,Software engineer
258,/,.NET developer
258,/,Web developer
259,/,Application developer
260,Junior,Software developer
260,/,Software developer
260,Senior,Software developer
260,/,Software developer
261,/,application engineer
262,/,Teacher(-assistant)/Trainer
263,Senior,Java developer
263,/,Java developer
263,Founder,(Co-)Founder/Owner/Partner
263,Senior,Java developer
263,/,Java developer
263,Senior,Java developer
263,/,Java developer
264,/,Full-stack software engineer
264,/,Front-end developer/engineer
265,/,contractor
265,/,Software developer
265,/,contractor
266,/,Embedded software engineer
267,/,Developer
267,/,Software engineer
267,Tech Lead,technical lead
268,/,Software engineer
268,/,Researcher
269,Team Lead,Team lead
270,/,Software engineer
271,C-level&Founder,(co)founder & cto/ceo/dev
272,/,Software developer
272,/,Application developer
273,Junior,Software developer
273,/,Software developer
273,Senior,Software developer
274,Senior,DevOps engineer
274,/,Software developer
274,/,DevOps engineer
274,Tech Lead,technical lead
275,/,Consultant
275,/,development engineer
275,/,Software engineer
276,Junior,Software engineer
277,Tech Lead,technical lead
277,Tech Lead,technical lead
278,/,Software developer
278,Senior,Software engineer
279,Lead,Software developer
279,/,Programmer
280,/,Software engineer
281,/,Software engineer
281,Founder,(Co-)Founder/Owner/Partner
281,/,Software engineer
281,/,Researcher
281,/,Programmer
282,/,Software developer
282,/,Systems/network/database administrator
283,/,Mobile developer
284,/,Software engineer
285,/,Web developer
285,Lead,Software developer
285,CTO,CTO
285,Manager,engineering manager
285,/,System analyst
286,/,contractor
286,Principal,Software engineer
286,/,System engineer/developer
286,/,Software engineer
286,Senior,System engineer
286,/,contractor
286,Senior,Software developer
286,/,Consultant
287,/,Teacher(-assistant)/Trainer
288,Senior,Software engineer
288,Tech Lead,technical lead
288,/,Engineer
288,Chief architect,chief architect
288,Team Lead,Team lead
288,Senior,Engineer
289,/,Software engineer
289,/,Software engineer
289,/,Software engineer
290,/,Software engineer
290,Senior,Software engineer
290,/,Software engineer
291,/,System engineer/developer
291,/,Software engineer
292,Founder,(Co-)Founder/Owner/Partner
292,/,Front-end developer/engineer
293,/,Software engineer
294,Senior,Software engineer
294,Senior,Software engineer
294,/,Software engineer
294,Senior,Software engineer
295,CTO,CTO
295,/,Full-stack developer
296,/,Programmer
296,/,Consultant
296,/,Web developer
296,/,Web developer
296,/,Web developer
296,Senior,Web developer
296,/,Developer
297,/,PHP developer
297,/,Researcher
297,/,Software engineer
297,/,Web developer
297,/,Software engineer
297,/,Programmer
298,/,R&D engineer
299,/,Programmer analyst
299,/,Software developer
299,/,Software developer
299,Junior,Software developer
300,/,System engineer/developer
300,/,Software developer
300,/,Website developer
300,/,Software developer
300,/,Website developer
300,/,Site reliability engineer
300,/,Software developer
301,/,Android developer
301,/,Freelancer/independent developer
302,Senior,Software engineer
303,Senior,Software developer
303,Senior,Software engineer
303,Senior,Software developer
303,Lead/Principal,Architect
303,Senior,Software engineer
304,/,Software engineer
304,/,Software engineer
304,/,Software engineer
304,Senior,Software engineer
304,/,Software engineer
304,/,Software developer
304,/,Software engineer
304,/,Software engineer
304,/,Software engineer
305,Senior,Software engineer
305,Lead,Software engineer
305,Junior,Web developer
306,/,Mobile developer
307,/,Software developer
308,/,Software engineer
308,/,Web developer
309,CTO,CTO
309,/,Researcher
310,Senior,Software engineer
310,/,Software engineer
311,/,Software engineer
311,/,Software engineer
312,/,Web developer
312,/,Software developer
312,/,Software developer
312,/,Researcher
313,/,Java developer
313,/,IT specialist/technician
313,/,IT specialist/technician
314,/,Web developer
315,/,network engineer
315,Junior,Software engineer
316,/,software design engineer
317,Senior,Software engineer
317,/,Application developer
317,/,data analyst
318,Lead,Software engineer
318,/,Academic
318,Tech Lead,technical lead
318,/,Software engineer
318,/,Software engineer
318,Senior,Software engineer
319,/,Consultant
319,Associate,Consultant
320,Tech Lead,technical lead
321,/,Researcher
321,/,Freelancer/independent developer
321,/,mobile software engineer
321,/,Software engineer
322,/,Software engineer
322,Senior,Software engineer
322,/,Software engineer
323,/,Mobile developer
324,/,Developer
324,/,Developer
324,Junior,Developer
325,/,Consultant
325,Director,director of engineering
326,/,System engineer/developer
326,/,System engineer/developer
327,/,Software architect
327,/,Developer
327,/,Developer
327,/,Freelancer/independent developer
327,/,Programmer analyst
328,Senior,Software engineer
328,/,Software engineer
328,/,Software engineer
328,Senior,Software engineer
328,Senior,Software engineer
328,/,Software engineer
329,/,Software engineer
329,Senior,Software engineer
330,Senior,Android developer
331,Senior,Software engineer
332,Principal,Software engineer
333,/,Web developer
333,Senior,Web developer
334,/,Software developer
334,/,Software developer
334,Senior,Software developer
334,/,Software developer
335,/,Software engineer
335,/,Software developer
336,Senior,Software engineer
336,Senior,Software engineer
336,Junior,Software engineer
336,Senior,Software engineer
336,/,Software engineer
336,/,Software developer
337,/,mobile software engineer
338,/,Software engineer
338,Senior,Software engineer
338,/,Software engineer
339,/,Software developer
339,/,Programmer
339,Senior,Software developer
339,/,Software engineer
339,/,Software developer
340,/,Software developer
340,Senior,Software engineer
340,/,System engineer/developer
341,/,Full-stack developer
341,Manager,IT manager
341,/,Systems/network/database administrator
341,/,Software engineer
342,Senior,Software engineer
342,/,Software developer
342,/,Software engineer
342,Senior,Software engineer
342,Senior,Software engineer
343,Senior,Software developer
343,Senior,Software engineer
344,/,Web developer
344,/,Web developer
345,/,DevOps engineer
345,/,Web developer
345,/,Web developer
345,/,Software engineer
346,/,Software engineer
347,Principal,Software developer
347,Senior,Software engineer
348,/,Programmer analyst
348,Senior,Programmer analyst
349,/,Software engineer
349,/,Software engineer
350,Junior,Software engineer
350,/,Software engineer
351,/,Developer
351,/,Programmer
351,/,Software engineer
351,/,Programmer
351,Senior,Software engineer
352,/,Software engineer
352,/,Web developer
352,/,Software developer
353,/,Software developer
353,/,Software developer
353,/,Web developer
353,/,Freelancer/independent developer
353,/,Software developer
353,Senior,Web developer
354,Senior,.NET developer
354,Senior,Software developer
354,/,.NET developer
355,/,Web developer
355,/,Web developer
355,/,Programmer analyst
355,/,web programmer
356,Senior,Developer
357,/,Software engineer
357,/,Software engineer
358,/,Web developer
358,/,Software engineer
358,Senior,Web developer
359,/,Software engineer
360,/,Web developer
360,/,Developer
361,Senior,iOS developer
361,/,iOS developer
361,Senior,Software developer
362,Founder,(Co-)Founder/Owner/Partner
363,Lead,Developer
363,/,Programmer
363,Head/Lead,head of development
364,/,Web developer
364,/,Web developer
364,/,Web developer
364,/,Web developer
365,Tech Lead,technical lead
366,/,Software developer
367,/,Freelancer/independent developer
368,/,Software developer
368,Senior,Software engineer
368,Principal,Software engineer
368,Senior,Software engineer
368,/,Software developer
369,/,Web developer
369,Senior,Software developer
369,/,Software engineer
369,/,Programmer analyst
369,Senior,Front-end developer/engineer
369,/,Engineer
370,Senior,Software developer
370,/,Software developer
370,Junior,Software developer
371,/,Software engineer
371,/,Software engineer
371,C-level&Founder,(co)founder & cto/ceo/dev
372,/,Software developer
373,/,Full-stack developer
374,/,Freelancer/independent developer
374,Senior,Software developer
374,/,Software developer
374,Senior,Software developer
374,/,Software engineer
375,/,Researcher
376,Director,director of engineering
376,Senior,Back-end developer
376,Lead,Developer
377,Senior,Developer
378,Lead,Android developer
378,/,Software engineer
378,Junior,Software engineer
379,Senior,mobile developer
379,/,Mobile developer
379,/,Mobile developer
379,/,Java developer
379,/,Mobile developer
380,/,Developer
380,Senior,Developer
381,/,Software engineer
381,Senior,Software engineer
382,/,Researcher
383,/,Android developer
383,Senior,Android developer
383,/,Android developer
383,/,Android developer
383,Senior,Android developer
383,/,Android developer
384,/,Developer
384,/,Software engineer
384,/,Developer
384,/,Developer
384,/,Developer
384,/,Back-end developer
384,Lead,Software developer
385,/,entrepreneur
385,/,Software engineer
386,/,Consultant
386,/,Consultant
386,Senior,Programmer
386,/,Consultant
386,Senior,Software developer
386,/,Technical architect
386,/,Consultant
387,/,Software developer
387,Tech Lead,technical lead
388,CEO,CEO
388,/,Full-stack web developer
389,/,Software engineer
389,/,Application developer
389,Junior,Software engineer
389,/,Software developer
389,/,Software engineer
390,Senior,Software engineer
390,/,Software engineer
390,Junior,Software engineer
391,/,Software engineer
391,/,Software engineer
392,/,Software engineer
392,/,Software engineer
393,CTO,CTO
393,Director,director of engineering
394,/,System analyst
394,/,System analyst
395,Founder,(Co-)Founder/Owner/Partner
396,Senior,Software developer
396,Staff,Software engineer
397,/,Application developer
397,/,Application developer
397,/,Application developer
398,/,Software engineer
398,Senior,Software engineer
398,Senior,Software engineer
398,/,Software engineer
398,Senior,Software engineer
398,CTO,CTO
399,/,project engineer
400,/,C#/C++/SharePoint developer
400,/,Web developer
401,/,Software engineer
401,/,Developer
401,/,Software developer
401,/,Software developer
401,/,Systems/network/database administrator
402,/,Web developer
402,Senior,Software engineer
402,Junior,Software engineer
403,/,Full-stack web developer
404,/,Software engineer
404,Senior,Software engineer
404,/,Software engineer
405,/,Full-stack developer
405,/,Full-stack developer
405,/,IT specialist/technician
405,/,Full-stack developer
405,/,Full-stack developer
405,/,Full-stack developer
406,/,Software engineer
407,/,Software engineer
408,/,Software engineer
409,/,Software developer
409,/,Software engineer
409,/,Software engineer
410,/,Software engineer
410,/,Software engineer
410,/,Software engineer
411,/,Web developer
412,Senior,Consultant
412,/,System engineer/developer
413,/,Python developer
414,/,Consultant
415,/,Application developer
415,/,Web developer
415,/,Application developer
416,/,JavaScript developer
417,Staff,Software engineer
417,/,Software engineer
418,Junior,Web developer
419,Staff,Software engineer
419,Senior,Software engineer
420,/,Software engineer
421,/,Systems/network/database administrator
421,Head/Lead,head of development
422,/,Software engineer
422,Senior,Software engineer
422,/,contractor
423,/,business analyst
424,/,Programmer analyst
424,/,Android developer
424,/,Android developer
425,/,database developer
426,/,Programmer
426,/,Solutions architect
426,/,Software engineer
426,/,Software engineer
427,/,Consultant
427,Senior,Developer
427,/,Consultant
427,Senior,Developer
427,Senior,Developer
427,/,Consultant
428,/,Full-stack developer
428,/,Web developer
429,Senior,Software developer
429,Senior,Software developer
429,Lead,Software engineer
430,/,R&D engineer
431,/,Developer
432,/,System engineer/developer
432,/,Programmer
432,/,Software developer
432,/,Programmer
433,/,ruby developer
433,/,ruby developer
433,/,Software engineer
434,/,Android developer
434,/,Researcher
435,/,Full-stack developer
436,/,Software developer
436,/,Software developer
436,/,Software developer
437,/,Software developer
438,/,Developer
438,/,Developer
438,/,Developer
438,/,Developer
438,/,Developer
438,/,Developer
439,/,Software engineer
439,Founder,(Co-)Founder/Owner/Partner
440,Team Lead,Team lead
440,Senior,Software engineer
440,Senior,Software engineer
441,/,Android developer
441,/,Software developer
441,/,Front-end developer/engineer
441,Junior,Programmer
441,/,Android developer
442,Lead,iOS developer
442,/,iOS developer
443,/,Software engineer
444,/,Software engineer
444,Senior,Software engineer
445,Lead,Software developer
445,/,Software developer
445,Lead,Developer
446,Principal,Software engineer
446,Senior,Programmer
446,/,Developer
447,CTO,CTO
448,/,Software architect
448,/,Software developer
448,Senior,Java developer
448,/,Software developer
448,/,Solutions architect
449,/,Software engineer
449,/,Software developer
449,/,Systems/network/database administrator
449,/,Software engineer
449,/,Software developer
449,/,Systems/network/database administrator
449,/,Systems/network/database administrator
450,/,Android developer
451,/,Web developer
451,/,Freelancer/independent developer
451,/,Web developer
451,Junior,Web developer
452,Lead,Engineer
452,VP,VP of engineering
452,/,Developer
452,/,R&D engineer
453,Senior,Software engineer
453,/,Web developer
453,/,Software engineer
453,/,Business intelligence developer
454,/,Software engineer
454,Team Lead,Team lead
454,/,Software engineer
454,/,Software engineer
455,/,Software engineer
455,/,Software engineer
455,Manager,IT manager
455,/,PHP developer
455,/,PHP developer
456,/,Software engineer
456,/,Programmer analyst
456,/,Software engineer
457,/,Software engineer
457,/,Full-stack developer
458,Senior,Web developer
458,/,Web developer
459,/,contractor
459,Manager,technical manager
460,/,PHP developer
460,Senior,Software engineer
460,/,Programmer analyst
460,/,Software engineer
460,/,Systems/network/database administrator
460,/,Web developer
460,/,Systems/network/database administrator
461,Junior,Software engineer
461,/,Software engineer
462,/,Researcher
462,/,Teacher(-assistant)/Trainer
463,/,Application developer
463,Senior,Software engineer
463,/,Software engineer
463,/,Software engineer
463,/,Software engineer
464,Principal,Software engineer
464,Lead,Application developer
465,Team Lead,Team lead
465,/,Software engineer
465,/,Software engineer
465,/,Software engineer
466,Senior,Software engineer
466,/,Consultant
466,Senior,Software engineer
467,/,Back-end developer
468,Manager,IT manager
469,Senior,Software engineer
469,/,Software engineer
469,/,solution developer
470,/,Consultant
470,CTO,CTO
470,Founder,(Co-)Founder/Owner/Partner
471,/,Java developer
471,/,Java developer
471,Senior,Software engineer
472,/,Systems/network/database administrator
472,/,Software engineer
472,C-level&Founder,(co)founder & cto/ceo/dev
473,/,Scala developer
473,/,Software developer
473,/,Freelancer/independent developer
474,Senior,Software engineer
475,/,Full-stack developer
475,/,Full-stack developer
475,/,Front-end developer/engineer
476,Principal,Software engineer
